eps,min_samples,silhouette
0.3,1.0,0.7601136998778456
0.3,2.0,0.757788632690338
0.3,3.0,0.7511576195157545
0.5,1.0,0.7607292442991147
0.5,2.0,0.7588648270782904
0.5,3.0,0.7522787455872827
0.7,1.0,0.7610987299689781
0.7,2.0,0.7594540443423196
0.7,3.0,0.7521874585477203
0.9,1.0,0.7615138927618499
0.9,2.0,0.7602650563841121
0.9,3.0,0.7530265583114782
1.1,1.0,0.7617580253305134
1.1,2.0,0.7608178126025346
1.1,3.0,0.7554435123039208
0.4,1.0,0.7233428218784326
0.4,2.0,0.7218921990763394
0.5,1.0,0.7233428218784326
0.5,2.0,0.7218921990763394
0.7,1.0,0.7237079812164463
0.7,2.0,0.7224637960052018
0.9,1.0,0.7237079812164463
0.9,2.0,0.7224637960052018
1.1,1.0,0.7237079812164463
1.1,2.0,0.7224637960052018
1.3,1.0,0.7273109024622618
1.3,2.0,0.7262020677278725
1.5,1.0,0.7256303135670567
1.5,2.0,0.7244711630451326
0.6,1.0,0.6932142018027668
0.6,2.0,0.6922189244507865
0.7,1.0,0.6932142018027668
0.7,2.0,0.6922189244507865
0.8,1.0,0.6932142018027668
0.8,2.0,0.6922189244507865
0.9,1.0,0.6932142018027668
0.9,2.0,0.6922189244507865
0.1,1.0,0.9675981658985525
0.1,2.0,0.9629481451364647
1.1,1.0,0.9721183099312426
1.1,2.0,0.9711482290088932
1.2,1.0,0.9690780596847755
1.2,2.0,0.968107978762426
1.1,1.0,0.5139520328006528
1.1,1.0,0.5139520328006528
1.1,2.0,0.513480367621106
0.6,1.0,0.6932142018027668
0.6,2.0,0.6922189244507865
0.7,1.0,0.6932142018027668
0.7,2.0,0.6922189244507865
0.8,1.0,0.6932142018027668
0.8,2.0,0.6922189244507865
0.9,1.0,0.6932142018027668
0.9,2.0,0.6922189244507865
0.1,1.0,0.9675981658985525
0.1,2.0,0.9629481451364647
1.1,1.0,0.9721183099312426
1.1,2.0,0.9711482290088932
1.2,1.0,0.9690780596847755
1.2,2.0,0.968107978762426
